,appid,required_age,price,dlc_count,metacritic_score,achievements,recommendations,user_score,score_rank,positive,negative,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,discount,peak_ccu,pct_pos_total,num_reviews_total,pct_pos_recent,num_reviews_recent
count,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
mean,0.262863925640688,0.20097875653431208,0.2760663220728945,0.009329591028937404,0.38595296327255085,0.041642798868232356,0.015741714162187538,0.0,,0.011856544013142456,0.012000003788450305,0.03257219694076772,0.022678651586724365,0.026471749110429748,0.020738814764131204,0.07833388944500055,0.006389021680734637,0.8502547491311536,0.008866725850483204,0.8211875241578213,0.011513410294428967
std,0.2111698859747623,0.38392645265474046,0.25736351912242467,0.03974029695214214,0.42025395438610985,0.06666666826617361,0.044381447039394194,0.0,,0.038340892372445014,0.04957399790995575,0.0774092285917983,0.08462001083329534,0.06246251127500108,0.08443733835909616,0.23117714655984742,0.044058182692148846,0.13217932134088453,0.03745664849615064,0.1810026660087784,0.0417260146974198
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0960777752035764,0.0,0.0427203886269467,0.0,0.0,0.0115606936416184,0.00385964378181245,0.0,,0.00262003608431325,0.0017064455540794,0.0,0.0,0.0,0.0,0.0,0.00013197443655155,0.8089887640449438,0.0007564036684301,0.7722772277227723,0.0015340920869871
50%,0.1909857189029326,0.0,0.2398914130590084,0.0013071895424836,0.0,0.0303468208092485,0.0063200147583636,0.0,,0.0043302780058798,0.0037608756171218,0.0070634115282834,0.0,0.0065467266366816,0.0,0.0,0.0005501684323746,0.8876404494382022,0.0022564456779618,0.8811881188118812,0.0036797479113543
75%,0.367647437382552,0.0,0.4284897842548936,0.0065359477124183,0.8350515463917526,0.0484104046242774,0.0139907969243715,0.0,,0.0099047389635324,0.00823489923425785,0.0297757615551443,0.00682454503033125,0.030759620189905,0.00602531645569615,0.0,0.00210045564174215,0.943820224719101,0.006689147568576449,0.9306930693069309,0.00826129319816735
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
